Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Bourgogne Franche Comté,Jura,Hébergement,PEP39,MECS + PAD Le Vieux Chateau I PEP39,64.0,Les PEP 39 proposent 64 places d’accompagnement en internat pour accueillir des enfants âgés de 6 à 18 ans.
Bourgogne Franche Comté,Jura,Hébergement,PEP39,MECS + PAD Les Cèdres I PEP39,74.0,"Hébergement Complet Internat : 46 places
Placement Famille d'Accueil : 28 places"
Bourgogne Franche Comté,Jura,Hébergement,PEP39,MNA I PEP39,55.0,Jeunes Migrants
Bourgogne Franche Comté,Jura,Placement à Domicile,PEP39,PAD I PEP39,48.0,Valeur par défaut
Centre Val de Loire,Loiret,Hébergement,Action Enfance,Le Village d’Enfants et d’Adolescents d’Amilly I Action Enfance,118.0,"le Village avec ses 16 maisons
7 places dans des familles d’accueil rattachées au Village
12 jeunes en appartements, âgés de 16 à 18 ans
Une maison mère-enfant destinée à accueillir trois mères mineures, enceintes ou avec leur jeune enfant"
Centre Val de Loire,Loiret,Placement à Domicile,Fondation Val de Loire,PAD de Fleury I Fondation Val de Loire,200.0,Valeur par défaut
Centre Val de Loire,Loiret,Hébergement,Fondation Val de Loire,MECS Michel Quartier I Fondation Val de Loire,31.0,Nous accueillons 18 jeunes âgés de 8 à 18 ans mixte
Centre Val de Loire,Loiret,Hébergement,Fondation Val de Loire,MECS Les Cordiers I Fondation Val de Loire,41.0,Nous accueillons 21 jeunes âgés de 6 à 18 ans et disposons de 4 studios de semi-autonomie.
Bourgogne Franche Comté,Yonne,Hébergement,ALEFPA,Lieu de Vie Le P'tit chez nous I ALEFPA,10.0,"Hébergement Complet Internat : 10 places, Établissement Mixte"
Bourgogne Franche Comté,Yonne,Hébergement,ALEFPA,SAS Rosette Demey (PEAD) I ALEFPA,12.0,Le cadre de l’intervention est en lien étroit avec la pratique de l’assistance éducative au domicile puisque l’enfant bénéficie de l’accompagnement éducatif au domicile des parents
Bourgogne Franche Comté,Yonne,Hébergement,ALEFPA,SAS Léandres Decottignies (PEAD) I ALFEPA,,Le cadre de l’intervention est en lien étroit avec la pratique de l’assistance éducative au domicile puisque l’enfant bénéficie de l’accompagnement éducatif au domicile des parents
Suisse,Suisse,Hébergement,FJF,Foyer Cilaos I FJF,6.0,Le foyer accueille des enfants âgés de 0 à 6 ans traversant des difficultés familiales et sociales. Il favorise leur développement à travers un cadre de vie structuré et sécurisant.
Suisse,Suisse,Hébergement,FJF,Foyer la Boussole I FJF,12.0,Le foyer La Boussole accueille des enfants âgés de 0 à 6 ans qui vivent des difficultés familiales et sociales.
Suisse,Suisse,Hébergement,FJF,Foyer de Lully I FJF,9.0,"Le foyer de Lully accueille des enfants âgés de 0 à 6 ans qui traversent des difficultés familiales, personnelles ou sociales"
Suisse,Suisse,Hébergement,FJF,Foyer de Founex I FJF,12.0,"Le foyer de Founex accueille des enfants de 6 à 16 ans qui, pour des raisons d’ordre éducatif et de protection, ne peuvent rester dans leur milieu familial"
Suisse,Suisse,Hébergement,FJF,Foyer de Romainmôtier I FJF,12.0,"Le foyer de Romainmôtier accueille des enfants de 6 à 16 ans ayant besoin d’une prise en charge extérieure à leur famille en raison de difficultés familiales, éducatives et sociales mettant à mal leur développement."
Suisse,Suisse,Hébergement,FJF,Foyer de L'Aube-Claire I FJF,10.0,"Le foyer L’Aube-Claire accueille des jeunes de 14 à 18 ans particulièrement fragiles, désocialisés et présentant, pour certains, des troubles psychiques"
Suisse,Suisse,Hébergement,FJF,Foyer Bellevue I FJF,11.0,Le foyer Bellevue accueille des adolescents de 14 à 18 ans qui ne peuvent rester dans leur milieu familial pour des raisons socio-éducatives et/ou de protection.
Suisse,Suisse,Hébergement,FJF,Foyer Pôle Nord I FJF,10.0,"Le foyer Pôle Nord accompagne des jeunes filles et garçons de 14 à 18 ans qui traversent des difficultés personnelles, sociales et familiales."
Suisse,Suisse,Visite Médiatisée,FJF,Visite Médiatisée I FJF,24.0,rencontre médiatisée destinée à assurer le maintien du lien parent-enfant dans un contexte sécurisé et contrôlé.
Suisse,Suisse,AEMO,FJF,AEMO + VM Nord I FJF,,Valeur par défaut
Suisse,Suisse,AEMO,FJF,AEMO + VM Centre I FJF,,Valeur par défaut
Suisse,Suisse,AEMO,FJF,AEMO + VM Est I FJF,,Valeur par défaut
Suisse,Suisse,AEMO,FJF,AEMO + VM Ouest I FJF,,Valeur par défaut
Suisse,Suisse,Accueil de jour,Enfants du Parc,Accueil de Jour Plainpalais I Enfants du Parc,,offrir à chaque enfant un accompagnement hebdomadaire individualisé
Suisse,Suisse,Accueil de jour,Enfants du Parc,Accueil de Jour La Jonction I Enfants du Parc,,offrir à chaque enfant un accompagnement hebdomadaire individualisé
Belgique,Belgique,Hébergement,SOS Villages d'Enfants Belgique,Accueil Familial MNA I SOS Villages d'Enfants Belgique,14.0,Nous offrons un accueil familial aux jeunes ayant quitté leur pays depuis 2016
Belgique,Belgique,Hébergement,SOS Villages d'Enfants Belgique,Placement Familial Maisons SIMBA I SOS Villages d'Enfants Belgique,10.0,Valeur par défaut
Belgique,Belgique,Hébergement,SOS Villages d'Enfants Belgique,Village d'enfants Chantevent I SOS Villages d'Enfants Belgique,62.0,"62 enfants et jeunes ont été accueillis, dont 33 frères et soeurs."
Belgique,Belgique,Hébergement,MERH,L'Estacade I MERH,48.0,"Accueille 48 enfants, garçons et filles, de 2,5 à 14 ans menacés par de grandes difficultés parentales, familiales, sociales ou économiques"
Belgique,Belgique,Hébergement,MERH,Le Pertuis I MERH,6.0,"Accueille 6 enfants, garçons et filles, âgés de 6 à 12 ans, pour une durée de 3 à 6 mois maximum "
Belgique,Belgique,Hébergement,MERH,La Maison des Petits I MERH,34.0,"Accueille 34 enfants, garçons et filles, de 0 à 6 ans menacés par de grandes difficultés parentales, familiales, sociales ou économiques."
Belgique,Belgique,Hébergement,MERH,La Pouponnière I MERH,32.0,"Accueille 32 enfants, garçons et filles, de 0 à 6 ans menacés par de grandes difficultés parentales, familiales, sociales ou économiques."
Belgique,Belgique,Accueil de jour,SOS Villages d'Enfants Belgique,Accueil de Jour Ukrainiens I SOS Villages d'Enfants Belgique,23.0,Valeur par défaut
Belgique,Belgique,Placement à Domicile,SOS Villages d'Enfants Belgique,Renforcement Familial I SOS Villages d'Enfants Belgique ,34.0,Valeur par défaut
Belgique,Belgique,Placement à Domicile,MERH,PAD Le Tremplin I MERH,24.0,Apporter une aide éducative à des enfants ou des adolescent(e)s âgé(e)s de 0 à 18 ans au sein du milieu familial ou en en résidence autonome et à soutenir les parents dans leur fonction parentale.
Luxembourg,Luxembourg,Hébergement,Caritas Luxembourg,MAARJASHAFF I Caritas Luxembourg,27.0,Valeur par défaut
Luxembourg,Luxembourg,Hébergement,Caritas Luxembourg,Maison ST HUBERT I Caritas Luxembourg,27.0,Valeur par défaut
Luxembourg,Luxembourg,Hébergement,Caritas Luxembourg,Autonomie Jeunes I Caritas Luxembourg,56.0,Valeur par défaut
Luxembourg,Luxembourg,Hébergement,Caritas Luxembourg,Accueil d'urgence I Caritas Luxembourg,12.0,Le foyer peut accueillir 12 enfants de 3 à 18 ans
Luxembourg,Luxembourg,Placement à Domicile,Caritas Luxembourg,Kand a Famill PAD I Caritas Luxembourg,,Valeur par défaut
Pays de la Loire,Maine et Loire,centre Educatif,ASEA,S.A.E.M.O,,"Suivis éducatifs de jeunes au titre de la protection judiciaire dans le cadre de l'Assistance Educative. 1000 mesures sur Angers, Cholet, Saumur, Segré."
Pays de la Loire,Vendée,Hébergement,Association VISTA,MECS Le Passage I Association VISTA,35.0,"La Maison d’Enfants à Caractère Social « Le Passage » accompagne des jeunes de 17 à 21 ans, pris en charge par l’Aide Sociale à l’Enfance, en logements autonomes sur tout le département de la Vendée."
Pays de la Loire,Maine et Loire,MECS,ASEA,"Oudon, Segré",10.0,11-17 ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"Verden, Saumur",9.0,11 - 14 ans 
Pays de la Loire,Maine et Loire,MECS,ASEA,"Doué, Doué",10.0,11 - 14 ans 
Pays de la Loire,Maine et Loire,MECS,ASEA,"La Boussole, Angers",8.0,4-10ans 
Pays de la Loire,Maine et Loire,MECS,ASEA,"La Meignanna, La Meignanna",7.0,4-10ans 
Pays de la Loire,Maine et Loire,MECS,ASEA,"Les Ponts de Cé, Les Ponts de Cé",8.0,11-14ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"Pignerolle, St Barthélémy d'Anjou",8.0,11-14ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"Le Harnais, Angers",9.0,15-21ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"La Rose, Angers",9.0,15-21ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"Pierre Blanche, Angers",12.0,15-21ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"Le Patio, Cholet",10.0,11-17ans
Pays de la Loire,Maine et Loire,MECS,ASEA,"La Clairière, Cholet",10.0,11-17ans
Pays de la Loire,Maine et Loire,ADJ,ASEA,"ADJ, Saumur",10.0,3-21ans
Pays de la Loire,Maine et Loire,ADJ,ASEA,"ADJ, St Barthélémy d'Anjou",20.0,3-21ans
Pays de la Loire,Maine et Loire,AEMO,ASEA,"SSEAD, Cholet",30.0,11-21ans 
Pays de la Loire,Maine et Loire,FAE,ASEA,"Brunclair, Angers",17.0,15-21ans
Pays de la Loire,Maine et Loire,FAE,ASEA,"FAE les plantes, Angers",18.0,15-21 ans 
Pays de la Loire,Maine et Loire,ADJ,ASEA,"ADJ, Cholet",10.0,3-21ans
Pays de la Loire,Maine et Loire,FAE,ASEA,"FAE Loire, Saumur",16.0,15-17ans
Pays de la Loire,Maine et Loire,PEAD,ASEA,"Service d’Accompagnements Educatifs Diversifiés, PDS",30.0,4-18ans
Pays de la Loire,Maine et Loire,MECS,Action Enfance,Village d'enfants et d'adolescents de Chinon I SOS Villages d'Enfants,41.0,"accueil de frères et sœurs en maison (6 enfants par maison), assuré par des éducateurs familiaux partageant le quotidien des enfants plusieurs jours et nuits d’affilée.Un accueil adolescents en appartements partagés d’une capacité 9 de places, assuré lui aussi par des éducateurs familiaux et proposant de ce fait une présence éducative renforcée, ainsi que 2 places d’accueil en autonomie"
Pays de la Loire,Maine et Loire,SASEP,Action Enfance,Village d'enfants et d'adolescents de Chinon I SOS Villages d'Enfants,9.0,"Ce mode d’accueil a vocation à aider des jeunes en grande difficulté à s’apaiser, à reconstruire un projet de vie et à préparer la transition vers un lieu d’accueil pérenne ou vers l’autonomie."
Occitanie,Aveyron,Service d'accompagnement à domicile,Association L'Oustal, Association L'Oustal,20.0,Accompagnement à domicile
Occitanie,Aude,Accompagnement à domicile,Le Rayon de Soleil,MECS Rayon de soleil I Association Le Rayon de Soleil,36.0,"Accompagnement à domicile de 36 enfants de 0 à 18 ans au 31, rue Bunau Varilla"
Occitanie,Aude,Hébergement,Apprentis d'Auteuil,MECS l'Ange Gardien I Apprentis d'Auteuil,122.0,Accueil mixte de jeunes de 3 à 21ans
Occitanie,Aveyron,Service d'accompagnement à domicile,Association L'Oustal, Association L'Oustal,6.0,Placement en lieu familial - accueil individualisé
Occitanie,Aveyron,Service d'accompagnement à domicile,Association L'Oustal,MNA L'Oustal I Association L'Oustal,10.0,Valeur par défaut
Occitanie,Aveyron,Service d'accompagnement à domicile,Association L'Oustal, Association L'Oustal,6.0,Service d'accompagnement éducatif jeunes majeurs
Occitanie,Gard,Accompagnement,Protestante des amis des pauvres,Lumière et Joie I Protestante des amis des pauvres ,18.0,"18 jeunes de 3 à 21 ans sont accompagnés. Un accueil est réalisé sur le service pendant des temps spécifiques en journée (repas, loisirs, devoirs scolaires, …)."
Occitanie,Gard,Accompagnement,Protestante des amis des pauvres,Lumière et Joie I Protestante des amis des pauvres ,12.0,l’AEMO (Action Educative en Milieu Ouvert) selon une modalité renforcée : 12 jeunes de 0 à 18 ans sont accompagnés.
Occitanie,Gard,Accompagnement,Association Angéline Cavalié,Association Angéline Cavalié,10.0,10 en modalité « accueil de jour »
Occitanie,Gard,Accompagnement,Association Angéline Cavalié,Association Angéline Cavalié,12.0,12 en modalité « SAPMN » (Service d’Adaptation Progressive en Milieu Naturel)
Occitanie,Gard,Accompagnement,Association Angéline Cavalié,Association Angéline Cavalié,12.0,12 en modalité « AEDR » (Aide Educative à Domicile Renforcée)
Occitanie,Gard,Accompagnement,Association Angéline Cavalié,Association Angéline Cavalié,3.0, 3 en modalité « AJM » (Aide au Jeune Majeur)
Occitanie,Gers,Accompagnement,Association Louis de Marillac, Association Louise de Marillac,71.0,Service Éducatif Renforcé d’Accompagnement à domicile (SERAD) – 71 places 3-17 ans
Occitanie,Haute Garonne,Accompagnement,ASPE2A,Dispositif d'Hébergement I ASPE2A,20.0,service grand mineurs/jeunes majeurs de 20 places.
Occitanie,Haute Garonne,Hébergement,ADES Europe,SAU Gaïa I ADES Europe,4.0,"Ce service peut accueillir 11 enfants dont 4 (de 0 à 3 ans) chez des 
assistants familiaux. "
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,6.0,"Service d’Accompagnement Personnalisé

Composé de 6 places sur 3 unités :

G1 (4-11 ans) 2 places à Béziers
G2 (11-14 ans) 2 places à Béziers
G3 (15-17 ans) 2 places à Béziers"
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,4.0,Service d’Accompagnement Familial
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,9.0,Service d’Accompagnement à l’Autonomie
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,58.0,"Centre de Réentraînement à l’Effort et de Formation, 58 places d’accompagnement permettant :

La mise en situation de travail réel
Le travail scolaire
La prise en charge éducative"
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,20.0,"SEJ
(Service Éducatif de Jour)

Implanté sur 2 secteurs :

8 places sur Bédarieux.
12 places sur BEZIERS"
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,8.0,"SAR
(Service d’Accueil Relai)

Implanté sur 2 secteurs :

4 places sur Bédarieux.
4 places sur BEZIERS"
Occitanie,Hérault,Accompagnement,Association Jean Gailhac,Béziers I Association Jean Gailhac ,30.0,"SVM Béziers 15 places, SVM Bédarieux 15 places
(Service de Visites Médiatisées)"
Occitanie,Lot,Accompagnement,Apprentis d'Auteuil,MECS La Providence I Apprentis d'Auteuil,12.0,12 jeunes sont accompagnés par les éducateurs en restant au sein de leur famille
Occitanie,Lozère,Hébergement,Apprentis d'Auteuil,MECS La Providence I Apprentis d'Auteuil,84.0,84 enfants et adolescents âgés de 3 à 21 ans.
Nouvelle Aquitaine,Charente,Hébergement,GPA,MECS Nord Charente I GPA,8.0,Le SAF : service d’accueil familial (8 places) qui permet aux plus jeunes de s’intégrer dans une famille d’accueil qui supplée un temps la famille d’origine
Nouvelle Aquitaine,Deux Sèvres,Hébergement,Union pour l'Enfance,PEAD Parthenay I Union pour l'Enfance,56.0,Accueil de 56 jeunes garçons et filles à partir de 0 à 18 ans. C’est une mesure alternative au placement traditionnel qui permet de mobiliser les compétences parentales.
Nouvelle Aquitaine,Deux Sèvres,Accompagnement,Union pour l'Enfance,APMN Parthenay I Union pour l'Enfance,21.0,Accueil de 21 jeunes garçons et filles à partir de 17 ans jusqu’à 21 ans afin de faciliter l’accès à l’autonomie au vu de la fin de leur prise en charge.
Nouvelle Aquitaine,Pyrénées Atlantiques,Accompagnement, PEP 64,MECS Upaes I PEP 64,25.0,Activité de jour 
Normandie,Calvados,Hébergement,Apprentis d'Auteuil,MNA Saint-Jean Eudes I Apprentis d'Auteuil,30.0,"Les maisons MNA : 3 petites maisons sur le site accueillent chacune 6 jeunes MNA.

Les appartements MNA : 12 jeunes MNA en apprentissage accueillis en logements autonomes sur Lisieux.  8 à 21 ans"
